State,Year,July,December,Population
AK,2015,117,121,737498
AL,2015,743,720,4852347
AR,2015,395,381,2978048
AZ,2015,1201,1267,6829676
CA,2015,4628,4762,38918045
CO,2015,918,913,5450623
CT,2015,722,799,3587122
DC,2015,114,144,675400
DE,2015,202,195,941252
FL,2015,3117,3352,20209042
GA,2015,1330,1308,10178447
HI,2015,147,171,1422052
IA,2015,298,300,3120960
ID,2015,220,214,1651059
IL,2015,1761,1864,12858913
IN,2015,1207,1232,6608422
KS,2015,328,323,2909011
KY,2015,1211,1248,4425976
LA,2015,825,875,4664628
MA,2015,1453,1723,6794228
MD,2015,1146,1320,5985562
ME,2015,253,267,1328262
MI,2015,2017,1973,9931715
MN,2015,549,592,5482032
MO,2015,1103,1087,6071732
MS,2015,343,333,2988471
MT,2015,128,131,1030475
NC,2015,1422,1537,10031646
ND,2015,68,66,754066
NE,2015,132,123,1891277
NH,2015,424,415,1336350
NJ,2015,1336,1423,8867949
NM,2015,520,496,2089291
NV,2015,616,665,2866939
NY,2015,1694,1802,19654666
OH,2015,3128,3336,11617527
OK,2015,733,722,3909500
OR,2015,502,497,4015792
PA,2015,3012,3263,12784826
RI,2015,308,319,1056065
SC,2015,726,736,4891938
SD,2015,66,62,853988
TN,2015,1375,1455,6591170
TX,2015,2564,2579,27470056
US,2015,50301,52623,320635163
UT,2015,596,649,2981835
VA,2015,976,1002,8361808
VT,2015,95,99,625216
WA,2015,1068,1109,7163657
WI,2015,849,873,5760940
WV,2015,684,729,1842050
WY,2015,105,92,585613
AK,2016,143,129,741456
AL,2016,681,740,4863525
AR,2016,378,386,2989918
AZ,2016,1421,1393,6941072
CA,2016,4816,4755,39167117
CO,2016,928,965,5539215
CT,2016,906,974,3578141
DC,2016,219,300,685815
DE,2016,233,285,948921
FL,2016,3973,4996,20613477
GA,2016,1270,1370,10301890
HI,2016,193,199,1427559
IA,2016,304,314,3131371
ID,2016,218,228,1682380
IL,2016,2261,2427,12820527
IN,2016,1383,1506,6634304
KS,2016,320,313,2910844
KY,2016,1376,1437,4438182
LA,2016,962,1004,4678135
MA,2016,2073,2198,6823608
MD,2016,1758,2074,6003323
ME,2016,334,357,1331317
MI,2016,1950,2342,9950571
MN,2016,645,664,5522744
MO,2016,1192,1386,6087135
MS,2016,319,332,2987938
MT,2016,127,114,1040859
NC,2016,1816,1931,10154788
ND,2016,65,80,754434
NE,2016,118,113,1905616
NH,2016,441,458,1342307
NJ,2016,1695,1971,8870827
NM,2016,497,494,2091630
NV,2016,723,707,2917563
NY,2016,2084,2248,19633428
OH,2016,3763,4326,11634370
OK,2016,752,803,3926331
OR,2016,511,496,4089976
PA,2016,3797,4648,12782275
RI,2016,333,346,1056770
SC,2016,822,871,4957968
SD,2016,63,69,862996
TN,2016,1552,1643,6646010
TX,2016,2731,2812,27914410
