GISJOIN,STATE,STATE_CODE,STATEFP,STATENH,INC_2015,INC_2016,INC_2017,INC_2018,INC_2019,INC_2020,INC_2021,POV_2015,POV_2016,POV_2017,POV_2018,POV_2019,POV_2020,POV_2021,NONPOV_2015,NONPOV_2016,NONPOV_2017,NONPOV_2018,NONPOV_2019,NONPOV_2020,NONPOV_2021
G010,Alabama,AL,1,10,43623,44758,46472,48486,50536,52035,54943,887260,868666,849699,829400,795989,762642,769819,3824179,3851926,3879417,3912808,3958299,4008972,4107044
G020,Alaska,AK,2,20,72515,74444,76114,76715,77640,77790,80287,72957,72826,73380,77865,76933,74369,75016,643261,646238,646603,642809,642443,645076,644070
G040,Arizona,AZ,4,40,50255,51340,53510,56213,58945,61529,65913,1180690,1165636,1128046,1092192,1043764,990528,934911,5308227,5407887,5526050,5696793,5847460,6022471,5991370
G050,Arkansas,AR,5,50,41371,42336,43813,45726,47597,49475,52123,553644,542431,524211,510337,496260,470190,468113,2318853,2338973,2365884,2392666,2414694,2453395,2455622
G060,California,CA,6,60,61818,63783,67169,71228,75235,78672,84097,6135142,6004257,5773408,5487141,5149742,4853434,4741175,31543593,31908887,32469538,32920262,33386184,33736448,33960177
G080,Colorado,CO,8,80,60629,62520,65458,68811,72331,75231,80184,653969,637938,612143,590504,565873,544232,535976,4507753,4603119,4704727,4819313,4923260,5019591,5069446
G090,Connecticut,CT,9,90,70331,71755,73781,76106,78444,79855,83572,366351,360464,350783,348449,344146,339156,351476,3116952,3119208,3135250,3126452,3125941,3127779,3152218
G100,Delaware,DE,10,100,60509,61017,63036,65627,68287,69110,72724,108315,109448,111304,109798,109400,107641,109274,792505,799525,806796,813880,821364,833625,846328
G110,District of Columbia,DC,11,110,70848,72935,77649,82604,86420,90842,93547,110365,112060,111025,109497,107140,103391,100618,502926,512894,527337,541415,552536,565698,551000
G120,Florida,FL,12,120,47507,48900,50883,53267,55660,57703,61777,3180109,3139258,3070972,2983851,2870487,2772939,2744612,16048099,16375076,16787497,17194693,17610765,18020689,18183607
G130,Georgia,GA,13,130,49620,51037,52977,55679,58700,61224,65030,1788947,1746894,1679030,1607714,1528558,1461572,1441351,7948199,8082162,8252905,8416975,8601777,8776797,8915544
G150,Hawaii,HI,15,150,69515,71977,74923,78084,81275,83173,88005,153944,148577,143148,137516,130649,127971,133740,1215141,1227351,1240098,1246110,1253535,1253606,1280978
G160,Idaho,ID,16,160,47583,49174,50985,53089,55785,58915,63377,245177,244585,236000,228882,221256,205676,202560,1339233,1359784,1390557,1427739,1465029,1517296,1578315
G170,Illinois,IL,17,170,57574,59196,61229,63575,65886,68428,72563,1801118,1753731,1698613,1635603,1557873,1488670,1483378,10769992,10794807,10853209,10887680,10916969,10929834,11045913
G180,Indiana,IN,18,180,49255,50433,52182,54325,56303,58235,61944,978043,957694,933540,908359,867996,838149,819005,5389904,5431232,5478844,5527383,5593393,5653483,5731916
G190,Iowa,IA,19,190,53183,54570,56570,58580,60523,61836,65429,373883,369828,361343,353634,348122,339090,339695,2618891,2635980,2655015,2676938,2692062,2712194,2744903
G200,Kansas,KS,20,200,52205,53571,55477,57422,59597,61091,64521,381353,373162,361285,350280,337739,323644,327209,2428869,2443029,2458980,2474753,2488317,2504854,2523493
G210,Kentucky,KT,21,210,43740,44811,46535,48392,50589,52238,55454,805841,804139,783586,772080,747010,717895,709140,3457376,3471063,3504301,3530235,3562491,3604986,3650041
G220,Louisiana,LA,22,220,45047,45652,46710,47942,49469,50800,53571,888280,889570,887574,878394,871467,845230,850486,3606707,3625055,3643996,3653204,3661247,3686957,3681059
G230,Maine,ME,23,230,49331,50826,53024,55425,57918,59489,63182,180278,174405,166904,161743,153131,144384,145992,1113235,1120041,1128094,1135247,1145656,1159654,1175497
G240,Maryland,MD,24,240,74551,76067,78916,81868,84805,87063,91431,576805,576835,566966,553496,539991,531553,550074,5212423,5242728,5289122,5308554,5336443,5363282,5456703
G250,Massachusetts,MA,25,250,68563,70954,74167,77378,81215,84385,89026,748905,740836,727546,710305,680962,653454,668780,5722408,5765193,5824801,5883655,5934413,5983875,6087437
G260,Michigan,MI,26,260,49576,50803,52668,54938,57144,59234,63202,1616870,1575066,1510841,1457008,1398527,1337256,1310058,8061333,8108799,8187280,8274366,8343101,8416285,8540247
G270,Minnesota,MN,27,270,61492,63217,65699,68411,71306,73382,77706,596662,577196,560995,547442,526065,511185,512312,4698951,4749823,4805215,4856192,4914022,4965771,5038121
G280,Mississippi,MS,28,280,39665,40528,42009,43567,45081,46511,49111,651545,645553,620007,599795,585786,564439,557111,2239370,2247538,2270116,2290552,2300981,2318635,2317021
G290,Missouri,MO,29,290,48173,49593,51542,53560,55461,57290,61043,915972,897755,861679,837930,810045,772992,762023,4947141,4978611,5030081,5069260,5112525,5169821,5205886
G300,Montana,MT,30,300,47169,48380,50801,52559,54970,56539,60560,150586,148677,144198,139063,134605,132476,131512,839346,849637,860414,877344,890616,904014,921792
G310,Nebraska,NE,31,310,52997,54384,56675,59116,61439,63015,66644,231115,227021,220330,213790,206579,193820,195455,1584470,1600170,1619495,1636455,1653112,1675647,1704061
G320,Nevada,NV,32,320,51847,53094,55434,57598,60365,62043,65686,426337,417257,405263,393431,384690,381695,388814,2332843,2381286,2441102,2487973,2545192,2606122,2629325
G330,New Hampshire,NH,33,330,66779,68485,71305,74057,76768,77923,83449,113840,109690,104470,102352,98682,97418,98429,1169452,1175747,1184785,1198312,1206331,1215352,1232253
G340,New Jersey,NJ,34,340,72093,73702,76475,79363,82545,85245,89703,944847,949341,938252,904132,869081,842704,883896,7784021,7789717,7845737,7803694,7837121,7871088,8174597
G350,New Mexico,NM,35,350,44963,45674,46718,48059,49754,51243,54020,429361,426814,420293,410389,392065,381026,378896,1614316,1615200,1623603,1640466,1657921,1672883,1688724
G360,New York,NY,36,360,59269,60741,62765,65323,68486,71117,75157,3005943,2967564,2908471,2797985,2681277,2581048,2636823,16158091,16218498,16376977,16311008,16381903,16428050,16967307
G370,North Carolina,NC,37,370,46868,48256,50320,52413,54602,56642,60516,1667465,1631704,1579871,1523949,1467591,1411939,1379672,7925154,8053807,8203867,8357343,8517300,8686391,8713087
G380,North Dakota,ND,38,380,57181,59114,61285,63473,64894,65315,68131,79758,79314,79374,79270,78198,77491,80390,616437,631041,640348,648052,654128,658351,669303
G390,Ohio,OH,39,390,49429,50674,52407,54533,56602,58116,61938,1775836,1732839,1683890,1645986,1588343,1546011,1528963,9482625,9534661,9605271,9673106,9742687,9804367,9922383
G400,Oklahoma,OK,40,400,46879,48038,49767,51424,52919,53840,56956,624043,621155,612714,607810,598373,585520,583853,3110415,3138895,3168114,3194194,3218995,3248192,3253954
