Country Name,Country Code,Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Americas,20754.23146,22430.06089,23485.06313,25025.67103,26786.98963,27193.50745,27184.59815,28719.34962,28743.82798,28658.0716,30750.47534,32183.51039,31990.30903,32656.81868,35658.21172,36269.71106,37365.61091,39080.88779,40064.65375,35167.87463,34232.72674,35778.4918,34762.78818,36877.01413,36763.209,37231.9185,37444.44109,38697.94951,40379.29372,40124.758,30437.20252,38226.14616,45236.02121,
Africa Eastern and Southern,AFE,,1816.035866,1829.114493,1787.915919,1780.64137,1804.269969,1875.227249,1962.127382,2029.932682,2039.898635,2074.866483,2140.709679,2212.601876,2276.54427,2337.163314,2470.340425,2636.264273,2822.554457,3010.620823,3122.062999,3081.051853,3190.837784,3296.369413,3211.163383,3337.142219,3473.843253,3502.296662,3595.841041,3640.628582,3695.386884,3783.518751,3666.871961,3967.400629,4294.025281,4459.764134
Afghanistan,AFG,Asia,,,,,,,,,,,838.0007045,770.3091741,943.1787481,970.7162315,971.9265167,1075.795355,1121.003333,1287.275315,1336.544395,1575.332126,1771.451428,1749.936995,1994.535277,2138.75306,2229.679539,2289.371986,2217.296786,2338.778697,2436.00632,2589.410396,2568.341909,2138.870247,2092.879952,
Africa Western and Central,AFW,,1741.68752,1775.459118,1810.206965,1784.32676,1774.071017,1801.22684,1870.093795,1936.507636,1977.078638,1985.34601,2049.589057,2145.260025,2317.919528,2425.47357,2613.304428,2773.001642,2927.384558,3082.080265,3247.281244,3369.782028,3544.069052,3690.539063,3806.793122,3971.19977,4180.427724,4130.736274,4072.792261,4139.387604,4272.387852,4525.091244,4503.396648,4756.308419,5156.120103,5389.580896
Angola,AGO,Africa,3283.471906,3316.014564,3091.484599,2330.875555,2336.587667,2654.634266,2968.839522,3133.453637,3210.303421,3221.132886,3286.358493,3388.524528,3783.142848,3839.854143,4224.139738,4836.226882,5364.965087,6057.77173,6616.768779,6471.347922,6587.408285,6700.1141,7351.760767,7566.423051,7999.826851,7127.339573,6850.384625,6998.796187,7353.349988,7533.511854,6455.119982,7414.278958,7928.641498,8040.543601
Albania,ALB,Europe,2549.256454,1908.952895,1823.152808,2057.295897,2289.697964,2665.557252,2979.826359,2717.144865,3021.034961,3471.667789,3861.308568,4300.836107,4751.821237,5000.309082,5427.796556,5865.238608,6566.490567,7284.887343,8228.131887,8812.604737,9626.664893,10207.16988,10525.72253,10570.41983,11258.45728,11658.04575,12078.34882,12769.76258,13497.24932,14617.78491,14436.48504,16261.80455,19492.7831,21395.32504
Andorra,AND,Europe,24456.9039,25055.41932,25029.6562,24555.73718,24886.43329,25324.27968,26474.13826,29129.7078,30163.14937,31616.42154,33249.56491,35824.80877,36409.42988,38686.47947,41269.13935,43234.77753,46481.20589,49755.33032,49225.3223,48301.58923,49486.34682,51184.55369,49232.9703,48054.99033,49938.67099,51035.8876,52847.30087,53031.66191,55354.3891,57573.69305,51881.28967,58829.85007,68311.77298,71587.48178
Arab World,ARB,,6828.906175,7327.125481,7754.421767,7916.480509,8090.413163,8257.152029,8577.775835,8934.840388,9293.070261,9403.534812,10035.66795,10204.26446,10177.18346,10577.54198,11603.78983,12321.56812,13114.93048,13685.54287,14340.18996,14110.11258,14610.3543,15161.78847,16026.76656,15974.11742,15743.42244,14275.71896,13839.39463,14439.40616,15434.36796,15550.09889,14314.77219,15640.15704,17400.71376,17913.68396
United Arab Emirates,ARE,Asia,86860.64878,85689.59705,85958.07041,84814.85023,88395.54405,92132.46095,93906.17925,96824.20401,92315.01269,90851.14461,97402.3049,95759.52807,94694.41712,100108.8923,107561.1826,108503.7996,107356.0698,94912.05257,83886.37757,69932.4133,67769.5251,72666.74545,74503.06627,75169.05015,77756.47332,68409.23297,67256.77453,69205.72853,76767.49452,78839.09248,66153.26386,68912.54555,78915.25476,83902.67113
Argentina,ARG,Americas,7184.242554,7990.924544,8700.192234,9507.375173,10139.58687,9925.995407,10532.74321,11445.45109,11881.29896,11508.15705,11544.40897,11160.5678,9991.382124,10975.12824,12163.78289,13515.22788,14898.19817,16513.15386,17341.2671,16249.88844,18066.49913,19322.22712,19629.89804,20108.2057,19649.35289,20058.33864,20248.72139,23514.66709,24498.37893,23535.01275,22302.15049,26086.80236,29037.48912,29362.69242
Armenia,ARM,Asia,2756.826099,2474.101591,1490.488503,1438.720123,1587.184684,1758.826921,1909.805397,2024.119936,2217.210565,2347.799582,2572.737937,2915.779191,3382.284391,3958.620003,4518.799711,5340.517179,6274.645062,7381.44096,8099.329355,7045.39936,7332.435561,7881.771735,9279.1754,9847.932251,10153.55561,10183.92793,11036.72229,12605.33796,13478.76279,15729.1497,15523.46539,16899.07092,20445.09888,23054.60052
American Samoa,ASM,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Americas,12881.70856,13541.80616,13788.76098,14595.70399,15609.02839,14946.09707,15899.52892,16718.47536,17375.89622,17965.94374,19191.85603,18446.38929,18685.21447,19984.20445,21466.91459,23299.42613,26726.81194,29597.90138,29716.46981,25923.34712,23853.57958,23584.27145,22271.69515,21652.90333,21558.99977,20865.23391,21181.62741,21217.62926,24336.85486,26316.83322,22159.41229,25493.12955,29711.56332,31802.3772
Australia,AUS,Oceania,17380.88169,17835.35808,18253.58163,19215.96059,20170.5254,21038.66679,22132.1929,23124.96391,24378.24531,25485.39145,26541.66532,27645.81403,29032.49096,30121.81842,31763.79609,33036.58348,34846.71563,36653.84172,37532.99904,40312.39512,39374.6321,42025.46458,42866.60433,45936.04931,46914.38671,46292.09544,47289.28591,48418.55842,50251.33534,52746.71829,54064.07947,57406.17876,65365.94851,69114.73789
