Price,Living.Area,Bathrooms,Age,Fireplace,Bedrooms
142212,1982,1,133,0,3
134865,1676,2,14,1,3
118007,1694,2,15,1,3
138297,1800,1,49,1,2
129470,2088,1,29,1,3
206512,1456,2,10,0,3
50709,960,2,12,0,2
108794,1464,1,87,0,2
68353,1216,1,101,0,2
123266,1632,2,14,0,3
309808,2270,3,9,1,3
157946,1804,3,0,1,3
80248,1600,2,16,0,3
135708,1460,2,17,0,2
173723,1548,2,0,1,3
140510,1590,3,0,1,3
122221,1170,2,26,0,4
151917,1510,3,0,1,3
235105,2299,3,6,1,4
259999,2577,3,1,1,4
211517,2328,3,10,1,4
102068,1172,3,73,1,3
128440,1554,2,103,0,3
115659,1242,2,30,1,3
145583,1376,2,25,1,3
116289,1107,1,43,1,3
238792,2250,3,10,1,4
221925,2472,2,183,0,4
310696,2843,3,5,1,4
139079,1400,2,35,1,3
109578,1342,1,41,1,2
65325,813,1,68,0,2
89893,1480,3,14,1,2
87588,1392,1,17,0,2
132311,1512,2,13,1,3
131411,1512,2,13,1,3
158863,1696,3,5,1,3
130490,1595,2,6,1,3
88207,1480,2,14,0,3
178767,2291,3,0,1,4
148246,1391,2,12,0,3
205073,2501,3,0,0,4
185323,1662,2,0,0,3
71904,957,1,45,0,3
82556,1480,2,14,1,3
199684,2275,3,0,0,4
122221,1440,1,32,1,3
81762,1008,1,41,0,3
84291,1480,3,14,1,2
206512,2116,3,0,1,3
105363,1100,1,93,1,3
45004,960,1,11,0,2
62105,1228,1,53,0,2
103508,1560,2,16,1,3
157513,2164,2,183,1,3
79893,2634,3,83,0,4
88770,1000,1,91,0,3
115312,912,1,14,0,2
118952,1572,2,16,0,3
103861,1700,1,25,1,3
112649,1350,2,26,0,3
127385,1416,2,11,0,3
153129,1560,2,4,1,3
143808,1572,2,7,0,3
133067,1326,2,7,0,4
226742,1989,2,247,1,3
98652,1158,2,14,0,3
111394,1272,2,1,0,3
101418,1852,2,37,1,4
139219,2308,3,5,0,2
115248,1700,2,15,0,2
99574,1628,2,30,1,2
224818,2738,3,12,1,2
108459,1292,2,25,0,3
107919,1056,2,7,0,2
45904,1328,1,103,0,4
