geoid,NAME_E,tot_pop,med_hh_inc,total_hh,total__hh_w_assistance,total_hh_no_assistance,citizen_born,citizen_naturalized,non_citizen
1001,"Autauga County, Alabama",59285,69841,22523,2077,20446,57756,827,702
1003,"Baldwin County, Alabama",239945,75019,94642,6940,87702,230809,3991,5145
1005,"Barbour County, Alabama",24757,44290,9080,2071,7009,23981,353,423
1007,"Bibb County, Alabama",22152,51215,7571,1658,5913,21872,48,232
1009,"Blount County, Alabama",59292,61096,21977,2968,19009,56534,1015,1743
1011,"Bullock County, Alabama",10157,36723,3453,1137,2316,9883,63,211
1013,"Butler County, Alabama",18807,44881,7262,1237,6025,18519,151,137
1015,"Calhoun County, Alabama",116141,55826,45125,8097,37028,113431,1278,1432
1017,"Chambers County, Alabama",34450,49295,13419,2323,11096,33456,171,823
1019,"Cherokee County, Alabama",25224,50769,10477,1211,9266,24695,208,321
1021,"Chilton County, Alabama",45500,61873,17554,2562,14992,43191,1118,1191
1023,"Choctaw County, Alabama",12525,44483,5174,915,4259,12474,10,41
1025,"Clarke County, Alabama",22802,49167,8452,1902,6550,22580,117,105
1027,"Clay County, Alabama",14188,51852,5765,839,4926,14034,89,65
1029,"Cleburne County, Alabama",15254,53319,5849,902,4947,15114,101,39
1031,"Coffee County, Alabama",54231,64672,20860,2631,18229,51827,1006,1398
1033,"Colbert County, Alabama",57648,56736,24217,3939,20278,56764,348,536
1035,"Conecuh County, Alabama",11411,42266,4528,788,3740,11299,79,33
1037,"Coosa County, Alabama",10323,57063,4201,578,3623,10301,2,20
1039,"Covington County, Alabama",37647,50886,14495,2107,12388,37221,218,208
1041,"Crenshaw County, Alabama",13144,49040,5075,988,4087,12859,158,127
1043,"Cullman County, Alabama",89463,60916,34543,3726,30817,87334,747,1382
1045,"Dale County, Alabama",49516,53955,19769,3610,16159,47852,923,741
1047,"Dallas County, Alabama",37536,36810,15416,5252,10164,36958,219,359
1049,"DeKalb County, Alabama",71946,51149,25946,4320,21626,66633,1132,4181
1051,"Elmore County, Alabama",88669,75553,32529,3623,28906,86847,717,1105
1053,"Escambia County, Alabama",36695,44447,12781,2072,10709,36373,257,65
1055,"Etowah County, Alabama",103208,53070,39160,6489,32671,100504,1166,1538
1057,"Fayette County, Alabama",16173,50733,6051,1077,4974,16053,120,0
1059,"Franklin County, Alabama",31978,51493,11593,2247,9346,28998,1336,1644
1061,"Geneva County, Alabama",26726,50951,10550,1824,8726,26179,290,257
1063,"Greene County, Alabama",7589,31495,3037,925,2112,7495,86,8
1065,"Hale County, Alabama",14749,41325,5541,1546,3995,14665,63,21
1067,"Henry County, Alabama",17450,60135,6684,995,5689,17277,136,37
1069,"Houston County, Alabama",107628,57531,42581,7062,35519,104426,1413,1789
1071,"Jackson County, Alabama",52839,49454,21186,2999,18187,51874,438,527
1073,"Jefferson County, Alabama",669744,64589,268911,39196,229715,639934,10182,19628
1075,"Lamar County, Alabama",13809,47447,4987,940,4047,13732,35,42
1077,"Lauderdale County, Alabama",95037,59082,38777,4363,34414,92760,681,1596
1079,"Lawrence County, Alabama",33182,60040,13145,2076,11069,32731,165,286
1081,"Lee County, Alabama",177663,61123,67944,7386,60558,166162,4205,7296
1083,"Limestone County, Alabama",107577,83534,40021,3299,36722,103168,2430,1979
1085,"Lowndes County, Alabama",10008,35160,4161,1126,3035,9912,27,69
