"yr_built","yr_remodel","overall_cond","bed_rms","full_bth","num_stops_0.25","num_stops_0.50","total_value","lu","bldg_value","land_value","res_units","living_area","condo"
2007,NA,"G - Good",6,2,0,0,747700,"R2",560500,187200,NA,2448,0
1905,2012,"A - Average",8,3,0,0,970000,"R3",735400,234600,NA,4851,0
1915,NA,"A - Average",6,2,2,5,890800,"R2",593500,297300,NA,2487,0
1900,NA,"A - Average",7,3,0,0,742100,"R3",506800,235300,NA,3144.2,0
1919,NA,"A - Average",4,1,0,0,541800,"R1",365700,176100,NA,2016.8,0
1940,2014,"G - Good",4,4,0,0,781500,"R1",621900,159600,NA,2604,0
1910,NA,"A - Average",6,2,0,2,578000,"R2",380400,197600,NA,2350,0
1900,NA,"G - Good",6,1,0,0,687800,"R1",510400,177400,NA,2088,0
1905,NA,"A - Average",9,2,0,0,708900,"R2",517900,191000,NA,3653,0
1900,2018,"A - Average",6,2,0,0,828400,"R2",594400,234000,NA,3367,0
1910,2019,"G - Good",7,6,0,1,1471400,"R3",1177000,294400,NA,3540,0
1900,NA,"A - Average",3,1,0,1,893400,"R1",597000,296400,NA,2946.8,0
1910,2021,"G - Good",6,4,1,1,749300,"R2",583100,166200,NA,1641.6,0
1910,NA,"A - Average",9,3,0,2,1082000,"R3",834800,247200,NA,3255,0
1959,NA,"A - Average",2,1,1,1,800700,"R1",486100,314600,NA,1530.8,0
1933,2010,"G - Good",3,1,0,0,973200,"R1",707700,265500,NA,2048,0
1928,2016,"A - Average",3,2,0,0,850800,"R1",597200,253600,NA,1632,0
1848,2016,"G - Good",5,3,0,0,1467600,"R1",1019400,448200,NA,3338.4,0
1890,NA,"A - Average",3,1,0,0,755300,"R1",381000,374300,NA,928,0
1935,NA,"G - Good",6,3,0,0,973700,"R3",717600,256100,NA,3827.5,0
1990,NA,"A - Average",8,3,0,0,1747465,"RC",96047,1644184,NA,18550,0
1905,2021,"A - Average",9,6,0,0,1800800,"R3",1437300,363500,NA,4721,0
1930,NA,"A - Average",5,2,1,6,1285000,"R2",865900,419100,NA,3098.4,0
1900,2011,"A - Average",5,2,0,0,1165500,"R1",765700,399800,NA,3010,0
1905,NA,"A - Average",9,3,0,2,1419800,"R3",1079800,340000,NA,4137,0
1890,NA,"A - Average",6,3,0,1,1111000,"R3",771700,339300,NA,2792.8,0
1950,NA,"A - Average",2,1,0,0,487400,"R1",293300,194100,NA,1305.6,0
1957,NA,"A - Average",4,1,0,0,448700,"R1",254600,194100,NA,1237.6,0
1950,NA,"A - Average",3,1,0,0,477100,"R1",303100,174000,NA,1172,0
1950,2015,"A - Average",3,1,0,0,397400,"R1",254500,142900,NA,2059.2,0
1905,2019,"A - Average",6,3,0,1,1227000,"R3",968200,258800,NA,3501,0
1905,NA,"G - Good",11,4,0,0,1300800,"R3",1041000,259800,NA,3891,0
1905,2016,"A - Average",6,3,0,1,1219100,"R3",939300,279800,NA,3987,0
1905,1989,"A - Average",11,3,0,3,1360700,"R3",949100,411600,NA,3055,0
1900,NA,"A - Average",3,1,0,0,824200,"R1",477500,346700,NA,2133,0
1925,NA,"G - Good",4,1,0,0,1247000,"R1",981700,265300,NA,2727,0
1905,1997,"G - Good",5,2,0,0,661900,"R2",447800,214100,NA,2508.8,0
1920,2012,"A - Average",7,2,0,0,737600,"R2",489700,247900,NA,2729.6,0
1885,2003,"G - Good",3,3,0,1,920600,"R2",688000,232600,NA,1538.8,0
1915,NA,"A - Average",4,1,1,2,740400,"R1",531700,208700,NA,2753,0
1920,NA,"A - Average",9,3,2,4,2093300,"R3",1574100,519200,NA,4617,0
1932,2012,"G - Good",4,3,0,0,1285900,"R1",893300,392600,NA,2287,0
1929,NA,"A - Average",4,2,0,0,1013000,"R1",610700,402300,NA,2208,0
1890,NA,"A - Average",3,1,0,4,660900,"R1",516700,144200,NA,876,0
1880,2020,"G - Good",3,3,0,0,895800,"R2",673000,222800,NA,4166.2,0
1890,NA,"A - Average",9,3,0,0,895800,"R3",669600,226200,NA,5288,0
1952,2007,"A - Average",6,3,0,0,776100,"R1",529900,246200,NA,2911.5,0
1896,NA,"A - Average",3,1,1,2,700900,"R1",472700,228200,NA,2698.8,0
1895,NA,"A - Average",6,2,0,1,856700,"R1",639700,217000,NA,2712,0
1920,NA,"A - Average",6,3,0,0,736000,"R3",481600,254400,NA,3870,0
1910,NA,"A - Average",6,3,0,0,802400,"R3",537200,265200,NA,4550,0
1880,NA,"A - Average",11,3,0,2,1640000,"R3",1341000,299000,NA,4512,0
1928,2000,"G - Good",4,1,0,0,898500,"R1",651000,247500,NA,1848,0
1950,NA,"A - Average",3,1,0,0,416000,"R1",241300,174700,NA,2101,0
1935,NA,"A - Average",5,2,0,1,550600,"R2",339800,210800,NA,2720,0
1900,2021,"G - Good",3,2,0,4,3580600,"R1",1325500,2255100,NA,1632,0
1905,2004,"G - Good",8,2,0,0,696000,"R2",542800,153200,NA,3785.8,0
1920,NA,"A - Average",6,2,0,0,786500,"R2",495100,291400,NA,3292,0
1900,2018,"A - Average",12,3,0,1,1237600,"R3",1001100,236500,NA,3807,0
1870,2008,"A - Average",1,1,0,1,848600,"R1",548800,299800,NA,1479,0
1900,1984,"A - Average",6,3,0,0,870800,"R3",567900,302900,NA,3636,0
1905,NA,"A - Average",8,3,0,0,757100,"R3",526800,230300,NA,3867,0
1872,NA,"A - Average",3,2,1,1,896400,"R2",546700,349700,NA,1803,0
1910,2018,"A - Average",9,4,0,0,789300,"R3",586500,202800,NA,3212.8,0
1910,NA,"A - Average",5,2,2,5,932300,"R2",626700,305600,NA,2386,0
1910,NA,"A - Average",5,3,0,0,693900,"R3",437100,256800,NA,2400,0
1920,NA,"A - Average",3,1,1,2,534900,"R1",324900,210000,NA,1660,0
1910,2021,"A - Average",4,3,0,0,1278300,"R3",971800,306500,NA,3879.7,0
1940,NA,"A - Average",3,1,0,0,409800,"R1",241200,168600,NA,756,0
1900,NA,"A - Average",8,3,0,0,750700,"R3",551300,199400,NA,4297,0
1905,2021,"A - Average",6,3,0,1,1247700,"R3",905600,342100,NA,3318,0
1890,NA,"A - Average",5,2,0,1,889800,"R2",658100,231700,NA,3965.6,0
1905,2021,"G - Good",6,3,1,1,1240300,"R3",980400,259900,NA,3330,0
1905,1988,"A - Average",9,3,1,1,1032700,"R3",830400,202300,NA,3126,0
1910,NA,"A - Average",6,1,0,0,767300,"R1",495500,271800,NA,2050.9,0
1959,NA,"A - Average",3,1,0,0,608500,"R1",281300,327200,NA,1232,0
1925,2018,"A - Average",3,1,0,0,819300,"R1",423500,395800,NA,1590,0
1952,NA,"A - Average",5,2,0,0,909700,"R1",546500,363200,NA,2635,0
1910,1994,"G - Good",2,1,0,0,960400,"R1",588000,372400,NA,1213,0
1900,NA,"A - Average",6,3,0,0,647000,"R3",428800,218200,NA,2916,0
1905,2022,"G - Good",12,9,0,2,1899400,"R3",1612600,286800,NA,4221,0
1905,2013,"A - Average",9,3,0,1,1526400,"R3",1216500,309900,NA,4422,0
1905,NA,"A - Average",9,3,0,1,1335400,"R3",1068500,266900,NA,3594,0
1910,1979,"A - Average",6,3,0,0,722400,"R3",511300,211100,NA,2948,0
1924,2021,"A - Average",9,3,0,0,1186800,"R3",864200,322600,NA,3912,0
1950,NA,"A - Average",3,1,0,0,464700,"R1",308700,156000,NA,1548.2,0
1935,NA,"A - Average",6,3,0,0,702000,"R3",477800,224200,NA,3440.4,0
1900,NA,"A - Average",6,2,0,0,799000,"R2",593100,205900,NA,4173.6,0
1890,NA,"A - Average",4,2,0,0,768300,"R2",498900,269400,NA,2875.5,0
1925,2011,"G - Good",4,3,0,0,1080800,"R1",764600,316200,NA,2403.6,0
1920,2022,"A - Average",5,3,0,0,799900,"R3",510200,289700,NA,2949.8,0
1905,NA,"A - Average",6,2,0,0,526000,"R2",356900,169100,NA,2188,0
1954,NA,"A - Average",3,1,0,0,746100,"R1",448400,297700,NA,1668.15,0
1900,NA,"A - Average",9,3,0,0,1006600,"R3",751400,255200,NA,4392,0
1900,2016,"A - Average",10,3,0,1,1381000,"R3",1086600,294400,NA,3549,0
1895,NA,"A - Average",5,1,0,1,1122800,"R1",829100,293700,NA,2544,0
1890,NA,"A - Average",6,1,1,1,765700,"R1",512300,253400,NA,2061.6,0
1905,2004,"G - Good",9,3,0,0,1037600,"R3",853700,183900,NA,4258,0
1905,1998,"A - Average",3,1,0,0,663200,"R1",479200,184000,NA,1481.1,0
1935,2006,"A - Average",4,1,0,0,777800,"R1",551500,226300,NA,1974.4,0
1860,2004,"G - Good",4,3,0,1,1203400,"R2",944400,259000,NA,2491,0
1890,1973,"A - Average",3,2,0,0,855100,"R1",482000,373100,NA,1440,0
1900,2020,"A - Average",6,4,0,0,915400,"R3",665400,250000,NA,3674.4,0
1890,2011,"A - Average",2,3,0,1,754900,"R1",541400,213500,NA,1706,0
1905,2022,"G - Good",9,3,0,2,1604100,"R3",1313900,290200,NA,4290,0
1935,1994,"A - Average",3,2,0,0,801700,"R1",598800,202900,NA,1737,0
1890,NA,"A - Average",7,3,0,4,1472900,"R3",1175500,297400,NA,2943,0
1890,1995,"A - Average",11,3,0,0,884200,"R3",725800,158400,NA,3330,0
1920,NA,"A - Average",5,2,0,0,741800,"R2",486200,255600,NA,2200,0
1950,NA,"A - Average",3,1,0,0,829900,"R1",529200,300700,NA,1708,0
1960,NA,"A - Average",3,1,0,0,695900,"R1",394500,301400,NA,1336.8,0
1905,NA,"A - Average",6,3,0,0,1260500,"R3",1021900,238600,NA,3519,0
